Search Type,Time,Start,End,Number of Nodes,Path,Distance,Total Nodes Visited
DFS Recursive,0,4,5,0.3125,4->3->2->1->5,0.186275,1,Matrix
DFS Recursive,0,5,4,0.3125,5->1->2->3->4,0.215686,1,Matrix
DFS Recursive,0,5,15,0.5625,5->1->2->6->10->9->13->14->15,0.235294,1,Adjacency List
DFS Recursive,0,15,5,0.3125,15->14->13->9->5,0.235294,1,Adjacency List
DFS Recursive,0,5,15,0.8125,5->1->2->3->4->8->7->6->10->9->13->14->15,0.196078,1,Matrix
DFS Recursive,0,15,5,0.4375,15->11->7->3->2->1->5,0.245098,1,Matrix
DFS Recursive,0,12,5,0.4375,12->8->4->3->2->1->5,0.22549,1,Adjacency List
DFS Recursive,0,5,12,0.9375,5->1->2->6->10->9->13->14->15->11->7->3->4->8->12,0.235294,1,Adjacency List
DFS Recursive,0,12,5,0.4375,12->8->4->3->2->1->5,0.205882,1,Matrix
DFS Recursive,0,5,12,0.9375,5->1->2->3->4->8->7->6->10->9->13->14->15->11->12,0.196078,1,Matrix
DFS Recursive,0,13,11,0.625,13->9->5->1->2->6->10->14->15->11,0.254902,1,Adjacency List
DFS Recursive,0,11,13,0.625,11->7->3->2->1->5->6->10->9->13,0.235294,1,Adjacency List
DFS Recursive,0,13,11,0.75,13->9->5->1->2->3->4->8->7->6->10->11,0.215686,1,Matrix
DFS Recursive,0,11,13,0.625,11->7->3->2->1->5->6->10->9->13,0.235294,1,Matrix
DFS Recursive,0,4,15,0.6875,4->3->2->1->5->6->10->9->13->14->15,0.205882,1,Adjacency List
DFS Recursive,0,15,4,0.8125,15->14->13->9->5->1->2->6->10->11->7->3->4,0.235294,1,Adjacency List
DFS Recursive,0,4,15,0.9375,4->3->2->1->5->6->7->8->12->11->10->9->13->14->15,0.186275,1,Matrix
DFS Recursive,0,15,4,0.8125,15->11->7->3->2->1->5->6->10->9->13->14->4,0.22549,1,Matrix
DFS Recursive,0,16,3,0.8125,16->15->14->13->9->5->1->2->6->10->11->7->3,0.235294,1,Adjacency List
DFS Recursive,0,3,16,1,3->2->1->5->6->10->9->13->14->15->11->7->8->4->12->16,0.22549,1,Adjacency List
DFS Recursive,0,16,3,0.3125,16->12->8->4->3,0.215686,1,Matrix
DFS Recursive,0,3,16,1,3->2->1->5->6->7->8->4->12->11->10->9->13->14->15->16,0.186275,1,Matrix
DFS Recursive,0,3,10,0.375,3->2->1->5->6->10,0.22549,1,Adjacency List
DFS Recursive,0,10,3,0.75,10->6->2->1->5->9->13->14->15->11->7->3,0.254902,1,Adjacency List
DFS Recursive,0,3,10,0.6875,3->2->1->5->6->7->8->4->12->11->10,0.196078,1,Matrix
DFS Recursive,0,10,3,0.75,10->6->2->1->5->9->13->14->15->11->7->3,0.254902,1,Matrix
DFS Recursive,0,3,14,0.5625,3->2->1->5->6->10->9->13->14,0.215686,1,Adjacency List
DFS Recursive,0,14,3,0.6875,14->13->9->5->1->2->6->10->11->7->3,0.245098,1,Adjacency List
DFS Recursive,0,3,14,0.875,3->2->1->5->6->7->8->4->12->11->10->9->13->14,0.196078,1,Matrix
DFS Recursive,0,14,3,0.5625,14->10->6->2->1->5->9->13->3,0.235294,1,Matrix
DFS Recursive,0,6,4,0.8125,6->2->1->5->9->10->14->13->15->11->7->3->4,0.235294,1,Adjacency List
DFS Recursive,0,4,6,0.375,4->3->2->1->5->6,0.215686,1,Adjacency List
DFS Recursive,0,6,4,0.625,6->2->1->5->9->10->11->7->3->4,0.215686,1,Matrix
DFS Recursive,0,4,6,0.375,4->3->2->1->5->6,0.196078,1,Matrix
DFS Recursive,0,14,1,0.3125,14->13->9->5->1,0.245098,1,Adjacency List
DFS Recursive,0,1,14,0.4375,1->2->6->5->9->10->14,0.235294,1,Adjacency List
DFS Recursive,0,14,1,0.3125,14->10->6->2->1,0.22549,1,Matrix
DFS Recursive,0,1,14,0.9375,1->2->3->4->8->7->6->5->9->10->11->12->16->15->14,0.186275,1,Matrix
DFS Recursive,0,16,16,0.0625,16,0,0.0625,Adjacency List
DFS Recursive,0,16,16,0.0625,16,0,0.0625,Adjacency List
DFS Recursive,0,16,16,0.0625,16,0,0.0625,Matrix
DFS Recursive,0,16,16,0.0625,16,0,0.0625,Matrix
DFS Recursive,0,6,16,1,6->2->1->5->9->10->14->13->15->11->7->3->4->8->12->16,0.245098,1,Adjacency List
DFS Recursive,0,16,6,0.5625,16->15->14->13->9->5->1->2->6,0.22549,1,Adjacency List
DFS Recursive,0,6,16,0.8125,6->2->1->5->9->10->11->7->3->4->8->12->16,0.235294,1,Matrix
DFS Recursive,0,16,6,0.5625,16->12->8->4->3->2->1->5->6,0.215686,1,Matrix
DFS Recursive,0,2,15,0.5625,2->1->5->6->10->9->13->14->15,0.22549,1,Adjacency List
DFS Recursive,0,15,2,0.4375,15->14->13->9->5->1->2,0.235294,1,Adjacency List
DFS Recursive,0.94358,2,15,0.9375,2->1->5->6->7->3->4->8->12->11->10->9->13->14->15,0.205882,1,Matrix
DFS Recursive,0,15,2,0.3125,15->11->7->3->2,0.235294,1,Matrix
DFS Recursive,0,12,6,0.5,12->8->4->3->2->1->5->6,0.215686,1,Adjacency List
DFS Recursive,0,6,12,0.9375,6->2->1->5->9->10->14->13->15->11->7->3->4->8->12,0.235294,1,Adjacency List
DFS Recursive,0,12,6,0.5,12->8->4->3->2->1->5->6,0.205882,1,Matrix
DFS Recursive,0,6,12,0.75,6->2->1->5->9->10->11->7->3->4->8->12,0.22549,1,Matrix
DFS Recursive,0,11,16,0.8125,11->7->3->2->1->5->6->10->9->13->14->15->16,0.215686,1,Adjacency List
DFS Recursive,0,16,11,0.6875,16->15->14->13->9->5->1->2->6->10->11,0.22549,1,Adjacency List
DFS Recursive,0,11,16,0.8125,11->7->3->2->1->5->6->10->9->13->14->15->16,0.215686,1,Matrix
DFS Recursive,0,16,11,0.6875,16->12->8->4->3->2->1->5->6->7->11,0.215686,1,Matrix
DFS Recursive,0,3,6,0.3125,3->2->1->5->6,0.22549,1,Adjacency List
DFS Recursive,0,6,3,0.75,6->2->1->5->9->10->14->13->15->11->7->3,0.245098,1,Adjacency List
DFS Recursive,0,3,6,0.3125,3->2->1->5->6,0.205882,1,Matrix
DFS Recursive,0,6,3,0.5625,6->2->1->5->9->10->11->7->3,0.22549,1,Matrix
DFS Recursive,0,2,3,0.75,2->1->5->6->10->9->13->14->15->11->7->3,0.235294,1,Adjacency List
DFS Recursive,0,3,2,0.125,3->2,0.22549,1,Adjacency List
DFS Recursive,0,2,3,0.375,2->1->5->6->7->3,0.196078,1,Matrix
DFS Recursive,0,3,2,0.125,3->2,0.186275,1,Matrix
DFS Recursive,0,8,3,0.1875,8->4->3,0.215686,1,Adjacency List
DFS Recursive,0,3,8,0.8125,3->2->1->5->6->10->9->13->14->15->11->7->8,0.205882,1,Adjacency List
DFS Recursive,0,8,3,0.1875,8->4->3,0.196078,1,Matrix
DFS Recursive,0,3,8,0.4375,3->2->1->5->6->7->8,0.186275,1,Matrix
DFS Recursive,0,2,2,0.0625,2,0,0.0625,Adjacency List
DFS Recursive,0,2,2,0.0625,2,0,0.0625,Adjacency List
DFS Recursive,0,2,2,0.0625,2,0,0.0625,Matrix
DFS Recursive,0,2,2,0.0625,2,0,0.0625,Matrix
DFS Recursive,0,13,13,0.0625,13,0,0.0625,Adjacency List
DFS Recursive,0,13,13,0.0625,13,0,0.0625,Adjacency List
DFS Recursive,0,13,13,0.0625,13,0,0.0625,Matrix
DFS Recursive,0,13,13,0.0625,13,0,0.0625,Matrix
DFS Recursive,0,5,1,0.125,5->1,0.22549,1,Adjacency List
DFS Recursive,0,1,5,0.25,1->2->6->5,0.235294,1,Adjacency List
DFS Recursive,0,5,1,0.125,5->1,0.205882,1,Matrix
DFS Recursive,0,1,5,0.5,1->2->3->4->8->7->6->5,0.196078,1,Matrix
DFS Recursive,0,6,14,0.4375,6->2->1->5->9->10->14,0.245098,1,Adjacency List
DFS Recursive,0,14,6,0.4375,14->13->9->5->1->2->6,0.245098,1,Adjacency List
DFS Recursive,0,6,14,0.9375,6->2->1->5->9->10->11->7->3->4->8->12->16->15->14,0.235294,1,Matrix
DFS Recursive,0,14,6,0.1875,14->10->6,0.22549,1,Matrix
DFS Recursive,0,4,4,0.0625,4,0,0.0625,Adjacency List
DFS Recursive,0,4,4,0.0625,4,0,0.0625,Adjacency List
DFS Recursive,0,4,4,0.0625,4,0,0.0625,Matrix
DFS Recursive,0,4,4,0.0625,4,0,0.0625,Matrix
