Search Type,Time,Start,End,Number of Nodes,Path,Distance,Total Nodes Visited
DFS Recursive,0,2,15,15,2->1->5->6->7->3->4->8->12->11->10->9->13->14->15,21,16,Matrix
DFS Recursive,0,8,12,15,8->4->3->2->1->5->6->10->9->13->14->15->11->7->12,21,16,Adjacency List
DFS Recursive,0,12,8,2,12->8,21,16,Adjacency List
DFS Recursive,0,8,12,16,8->4->3->2->1->5->6->7->11->10->9->13->14->15->16->12,20,16,Matrix
DFS Recursive,0,12,8,2,12->8,21,16,Matrix
DFS Recursive,0,11,10,8,11->7->3->2->1->5->6->10,24,16,Adjacency List
DFS Recursive,0,10,11,10,10->6->2->1->5->9->13->14->15->11,25,16,Adjacency List
DFS Recursive,0,11,10,8,11->7->3->2->1->5->6->10,24,16,Matrix
DFS Recursive,0,10,11,10,10->6->2->1->5->9->13->14->15->11,25,16,Matrix
DFS Recursive,0,10,1,4,10->6->2->1,25,16,Adjacency List
DFS Recursive,0,1,10,6,1->2->6->5->9->10,24,16,Adjacency List
DFS Recursive,0,10,1,4,10->6->2->1,22,16,Matrix
DFS Recursive,0,1,10,10,1->2->3->4->8->7->6->5->9->10,20,16,Matrix
DFS Recursive,0,7,6,6,7->3->2->1->5->6,23,16,Adjacency List
DFS Recursive,0,6,7,11,6->2->1->5->9->10->14->13->15->11->7,24,16,Adjacency List
DFS Recursive,0,7,6,6,7->3->2->1->5->6,21,16,Matrix
DFS Recursive,0,6,7,8,6->2->1->5->9->10->11->7,22,16,Matrix
DFS Recursive,0,3,1,3,3->2->1,23,16,Adjacency List
DFS Recursive,0,1,3,12,1->2->6->5->9->10->14->13->15->11->7->3,24,16,Adjacency List
DFS Recursive,0,3,1,3,3->2->1,21,16,Matrix
DFS Recursive,0,1,3,3,1->2->3,21,16,Matrix
DFS Recursive,0,10,3,12,10->6->2->1->5->9->13->14->15->11->7->3,26,16,Adjacency List
DFS Recursive,0,3,10,6,3->2->1->5->6->10,23,16,Adjacency List
